tX,tY,tZ,rX,rY,rZ,rW,time(s)
1.79806,9.110078,-2.352803,-0.06333603,-0.9354053,-0.2196127,0.2697698,2.233338
1.798009,9.110039,-2.353261,-0.06568097,-0.9332294,-0.2253411,0.2720115,2.266671
1.797465,9.110229,-2.353604,-0.06736752,-0.9316423,-0.2292645,0.2737555,2.300004
1.796929,9.110241,-2.353958,-0.06908979,-0.9301648,-0.2349361,0.2735419,2.333338
1.79603,9.111125,-2.355106,-0.07097617,-0.9283682,-0.2392282,0.2754357,2.366671
1.795859,9.111703,-2.3556,-0.07178739,-0.9276035,-0.2411905,0.2760899,2.400005
1.79558,9.112482,-2.356824,-0.07120903,-0.9283764,-0.2431222,0.271916,2.433338
1.794806,9.113041,-2.357142,-0.06833993,-0.9315153,-0.2439441,0.2609602,2.466671
1.793952,9.114005,-2.358192,-0.06460673,-0.9353919,-0.2449594,0.2467045,2.500005
1.793092,9.11415,-2.358469,-0.06203797,-0.9379239,-0.2456224,0.2368958,2.533338
1.792665,9.114575,-2.358989,-0.06032172,-0.9395549,-0.2460496,0.2303421,2.566672
1.791958,9.115106,-2.360107,-0.05789772,-0.9417654,-0.246848,0.220889,2.600005
1.791395,9.115683,-2.361157,-0.05568738,-0.9437035,-0.2473561,0.2124564,2.633338
1.79065,9.116178,-2.361761,-0.05429749,-0.9450067,-0.2459357,0.2086379,2.666672
1.790135,9.116501,-2.362737,-0.05179422,-0.947409,-0.2423722,0.2024584,2.700005
1.789717,9.117206,-2.363394,-0.04679751,-0.9527361,-0.2269738,0.1964353,2.733339
1.789424,9.117208,-2.364472,-0.04325356,-0.9567102,-0.2077222,0.1992139,2.766672
1.789465,9.117539,-2.365251,-0.04182206,-0.95801,-0.191212,0.209537,2.800005
1.78941,9.118135,-2.366233,-0.04115552,-0.9576929,-0.1759856,0.2239636,2.833339
1.78891,9.118651,-2.366775,-0.04038012,-0.9570918,-0.1642436,0.2353057,2.866672
1.788208,9.119028,-2.367927,-0.03735864,-0.9575221,-0.1452391,0.2462953,2.900006
1.787946,9.119206,-2.36874,-0.03327693,-0.957823,-0.1239746,0.2570958,2.933339
1.787413,9.119756,-2.369126,-0.03077352,-0.9572201,-0.1109658,0.2654606,2.966672
1.787265,9.120306,-2.369908,-0.02997065,-0.9561707,-0.1055623,0.2714704,3.000006
1.786285,9.120056,-2.371,-0.03056279,-0.9559381,-0.1076481,0.2714044,3.033339
1.785324,9.119801,-2.372124,-0.03062201,-0.9559145,-0.1078566,0.2713977,3.066673
1.784604,9.120334,-2.372561,-0.03062201,-0.9559145,-0.1078566,0.2713977,3.100006
1.784299,9.120583,-2.373194,-0.03076848,-0.9548982,-0.1066872,0.2753916,3.133339
1.783603,9.120525,-2.373651,-0.02961144,-0.9533238,-0.09956762,0.283519,3.166673
1.782702,9.120885,-2.374645,-0.02745166,-0.9488915,-0.08614722,0.3023739,3.200006
1.782021,9.12135,-2.375417,-0.02474511,-0.9416311,-0.07100821,0.328141,3.23334
1.781343,9.121004,-2.376382,-0.02401349,-0.9391491,-0.06711316,0.3360329,3.266673
1.781032,9.12153,-2.376775,-0.02379289,-0.9405917,-0.06742246,0.3319267,3.300006
1.780366,9.121753,-2.377634,-0.02207938,-0.9532148,-0.07188177,0.2927919,3.33334
1.779678,9.121574,-2.378209,-0.01894435,-0.9660147,-0.07411879,0.2469074,3.366673
1.77895,9.121673,-2.379343,-0.01621559,-0.9744135,-0.07476324,0.2113433,3.400007
1.778777,9.122258,-2.380355,-0.01323608,-0.980725,-0.07158978,0.1813241,3.43334
1.778728,9.122809,-2.381108,-0.01233983,-0.9823181,-0.06998274,0.1732092,3.466673
1.778696,9.123025,-2.381561,-0.01232457,-0.9823558,-0.06998537,0.172995,3.500007
1.778302,9.123085,-2.382924,-0.01232457,-0.9823558,-0.06998537,0.172995,3.53334
1.777528,9.123648,-2.384092,-0.01232457,-0.9823558,-0.06998537,0.172995,3.566674
1.777338,9.123793,-2.385494,-0.01232457,-0.9823558,-0.06998537,0.172995,3.600007
1.777143,9.123773,-2.386344,-0.01152819,-0.9838471,-0.06879734,0.1648603,3.63334
1.776472,9.123938,-2.386851,-0.009755969,-0.9867551,-0.06489159,0.148352,3.666674
1.776459,9.124044,-2.388165,-0.006779015,-0.9914349,-0.05738288,0.1171247,3.700007
1.776028,9.124313,-2.389262,-0.003743917,-0.9957489,-0.04717609,0.07902306,3.733341
1.776168,9.124434,-2.389807,-0.00269416,-0.9969857,-0.04069677,0.06600142,3.766674
1.775756,9.124139,-2.390635,-0.002542078,-0.9971322,-0.03917754,0.06470031,3.800007
1.775689,9.124282,-2.391489,-0.002542078,-0.9971322,-0.03917754,0.06470031,3.833341
1.775609,9.124711,-2.392427,-0.002542078,-0.9971322,-0.03917754,0.06470031,3.866674
1.775065,9.124681,-2.392982,-0.002542078,-0.9971322,-0.03917754,0.06470031,3.900008
1.774926,9.124356,-2.394152,-0.002577513,-0.9970078,-0.03830124,0.06709521,3.933341
1.774415,9.124767,-2.395359,-0.003199339,-0.9961131,-0.04087883,0.07795858,3.966674
1.774634,9.125095,-2.395935,-0.005817026,-0.9923178,-0.05135404,0.1124027,4.000008
1.774436,9.125562,-2.396644,-0.01214284,-0.9838982,-0.07354802,0.1624424,4.033341
1.773799,9.126008,-2.397609,-0.01529327,-0.9803096,-0.08425766,0.1779316,4.066675
1.773178,9.126295,-2.398618,-0.01556346,-0.9801209,-0.08553414,0.1783393,4.100008
1.772342,9.126906,-2.399549,-0.01556346,-0.9801209,-0.08553414,0.1783393,4.133341
1.771866,9.126623,-2.400342,-0.01556346,-0.9801209,-0.08553414,0.1783393,4.166675
1.771593,9.126582,-2.401697,-0.01556346,-0.9801209,-0.08553414,0.1783393,4.200008
1.770848,9.126627,-2.402764,-0.01636049,-0.9794644,-0.08892287,0.1802074,4.233342
1.770259,9.127189,-2.403878,-0.02047318,-0.975816,-0.1047153,0.1907844,4.266675
1.770332,9.126948,-2.40452,-0.02666818,-0.9701804,-0.1260045,0.2053336,4.300008
1.770313,9.127127,-2.405813,-0.02936313,-0.9673277,-0.1327225,0.2140087,4.333342
1.769481,9.127234,-2.406223,-0.02776934,-0.9686501,-0.1270953,0.2116428,4.366675
1.76869,9.127157,-2.40672,-0.02776934,-0.9686501,-0.1270953,0.2116428,4.400009
1.767931,9.126966,-2.407128,-0.02776934,-0.9686501,-0.1270953,0.2116428,4.433342
1.767159,9.127313,-2.407797,-0.02776934,-0.9686501,-0.1270953,0.2116428,4.466675
1.766975,9.127087,-2.408987,-0.02776934,-0.9686501,-0.1270953,0.2116428,4.500009
1.766932,9.127349,-2.409426,-0.02806568,-0.9683537,-0.1279161,0.2124636,4.533342
1.766671,9.127655,-2.410279,-0.0326207,-0.9638357,-0.140179,0.2242917,4.566676
1.766529,9.1278,-2.411066,-0.03671055,-0.9598369,-0.1507356,0.2337613,4.600009
1.766243,9.127791,-2.411539,-0.04158157,-0.9551269,-0.162834,0.2439029,4.633342
1.766229,9.127631,-2.412241,-0.04283132,-0.9539651,-0.1660647,0.2460461,4.666676
1.765832,9.127927,-2.41333,-0.0409261,-0.9556214,-0.1605593,0.2435849,4.700009
1.765312,9.12844,-2.413947,-0.04087293,-0.9556564,-0.1603508,0.2435938,4.733343
1.765215,9.128531,-2.415084,-0.04087293,-0.9556564,-0.1603508,0.2435938,4.766676
1.764748,9.12928,-2.415835,-0.04087293,-0.9556564,-0.1603508,0.2435938,4.800009
1.764096,9.129992,-2.416944,-0.04220404,-0.9545923,-0.1646723,0.2446537,4.833343
1.764116,9.129901,-2.418111,-0.04620525,-0.9511251,-0.1762807,0.2493012,4.866676
1.763235,9.1298,-2.41881,-0.04881787,-0.9488516,-0.1837937,0.2520267,4.90001
1.762291,9.130504,-2.419161,-0.05246834,-0.9454473,-0.1927831,0.2573155,4.933343
1.762278,9.13136,-2.420396,-0.05429146,-0.9437078,-0.196936,0.2601619,4.966676
1.762083,9.131782,-2.420978,-0.05494834,-0.9430647,-0.1983052,0.2613134,5.00001
1.761476,9.132429,-2.422037,-0.05494834,-0.9430647,-0.1983052,0.2613134,5.033343
1.761049,9.132691,-2.423115,-0.05483429,-0.9431511,-0.1978937,0.2613374,5.066677
1.760646,9.132869,-2.424027,-0.05448881,-0.9436058,-0.1979891,0.2596909,5.10001
1.760605,9.133214,-2.425008,-0.05170867,-0.9471292,-0.1985127,0.2467086,5.133343
1.760365,9.133829,-2.425799,-0.04836679,-0.9511398,-0.1993533,0.2307639,5.166677
1.75993,9.134416,-2.426847,-0.04291718,-0.9570827,-0.2025615,0.2027795,5.20001
1.75906,9.135107,-2.428143,-0.03772776,-0.9619409,-0.203809,0.1780681,5.233344
1.758818,9.135311,-2.428968,-0.03521499,-0.9641054,-0.2036083,0.1667464,5.266677
1.758245,9.135623,-2.429415,-0.03444996,-0.9647877,-0.2028731,0.163831,5.30001
1.757728,9.136429,-2.430451,-0.03444996,-0.9647877,-0.2028731,0.163831,5.333344
1.757385,9.137137,-2.431175,-0.03444996,-0.9647877,-0.2028731,0.163831,5.366677
1.757473,9.137361,-2.431727,-0.03444996,-0.9647877,-0.2028731,0.163831,5.400011
1.757231,9.138222,-2.432789,-0.03444996,-0.9647877,-0.2028731,0.163831,5.433344
1.757288,9.138897,-2.433685,-0.03458707,-0.9643636,-0.2069618,0.1611626,5.466677
1.756501,9.139057,-2.434081,-0.03225899,-0.9650555,-0.2168211,0.1435826,5.500011
1.75599,9.139619,-2.434697,-0.0278964,-0.9664648,-0.2255704,0.119523,5.533344
1.755612,9.140428,-2.435914,-0.02552378,-0.9666998,-0.2311921,0.1067244,5.566678
1.755406,9.140583,-2.436346,-0.02441075,-0.9668336,-0.233232,0.1011917,5.600011
1.754868,9.140953,-2.437555,-0.0242562,-0.9671887,-0.2317553,0.1012288,5.633344
1.754857,9.141693,-2.437972,-0.02392365,-0.9683,-0.2266671,0.1021996,5.666678
1.754383,9.142406,-2.438677,-0.02590154,-0.9689792,-0.2168146,0.115758,5.700011
1.754451,9.143091,-2.439499,-0.02986813,-0.9694114,-0.190191,0.1522391,5.733345
1.754294,9.143825,-2.440639,-0.03150214,-0.9684035,-0.1679251,0.181669,5.766678
1.754223,9.144546,-2.441958,-0.03103964,-0.9679409,-0.1522247,0.1973695,5.800011
1.753916,9.144794,-2.443096,-0.03101173,-0.9678367,-0.1509103,0.1988883,5.833345
1.753556,9.145023,-2.443937,-0.03114188,-0.9677377,-0.1515438,0.1988679,5.866678
1.753501,9.145257,-2.444563,-0.0311853,-0.9677047,-0.1517549,0.1988612,5.900012
1.752972,9.145199,-2.445644,-0.03124894,-0.9676917,-0.1524018,0.1984185,5.933345
1.752851,9.145431,-2.446734,-0.03135881,-0.9675718,-0.1525994,0.1988338,5.966678
1.752139,9.145812,-2.447991,-0.03137161,-0.967508,-0.1521566,0.1994808,6.000012
1.751369,9.146194,-2.448767,-0.0306133,-0.9670562,-0.1412938,0.2095265,6.033345
1.75105,9.146114,-2.449223,-0.02914757,-0.9674899,-0.1318846,0.213823,6.066679
1.750343,9.146345,-2.450009,-0.02837256,-0.9678411,-0.1278484,0.2147867,6.100012
1.750108,9.146458,-2.451293,-0.02755593,-0.9682889,-0.1240407,0.2151077,6.133345
1.749604,9.147147,-2.45187,-0.02689883,-0.9686633,-0.1210827,0.2151908,6.166679
1.749591,9.147788,-2.453062,-0.02689883,-0.9686633,-0.1210827,0.2151908,6.200012
1.74904,9.148181,-2.453669,-0.02653773,-0.9686684,-0.1187231,0.2165229,6.233346
1.748724,9.14842,-2.45482,-0.02585118,-0.9683469,-0.1133264,0.2208918,6.266679
1.748338,9.148523,-2.455294,-0.02405322,-0.9666947,-0.09904574,0.2347611,6.300012
1.748378,9.148916,-2.456444,-0.02217954,-0.9654747,-0.08765276,0.2443026,6.333346
1.748153,9.149508,-2.457741,-0.02163649,-0.9651487,-0.08465181,0.2466861,6.366679
1.747309,9.149457,-2.458334,-0.02154726,-0.9651317,-0.08422597,0.2469061,6.400012
1.746577,9.150029,-2.459559,-0.02078795,-0.9648051,-0.08038113,0.2495154,6.433346
1.746493,9.150643,-2.459944,-0.02072009,-0.9640876,-0.07905075,0.2526987,6.466679
1.746423,9.1509,-2.461205,-0.02288583,-0.9610772,-0.08387218,0.2622449,6.500013
1.745995,9.151402,-2.461821,-0.03165385,-0.9539393,-0.1086877,0.2778219,6.533346
1.744987,9.151741,-2.462808,-0.04045117,-0.9505029,-0.1401462,0.2743484,6.566679
1.744663,9.152524,-2.463243,-0.04443368,-0.9488889,-0.1555992,0.2709695,6.600013
1.744546,9.152476,-2.464537,-0.04472211,-0.9485248,-0.1559645,0.271985,6.633346
1.743949,9.152502,-2.465393,-0.04445913,-0.948635,-0.15492,0.2722405,6.66668
1.743572,9.153073,-2.466619,-0.04445913,-0.948635,-0.15492,0.2722405,6.700013
1.743367,9.153389,-2.46723,-0.04421367,-0.9488549,-0.1543184,0.2718556,6.733346
1.74284,9.15368,-2.46827,-0.04396068,-0.9491591,-0.1539428,0.2710466,6.76668
1.742363,9.153653,-2.469469,-0.04794216,-0.9461617,-0.1655572,0.27399,6.800013
1.742132,9.153652,-2.470567,-0.05498031,-0.940374,-0.184281,0.2805609,6.833347
1.741997,9.153758,-2.471509,-0.06234634,-0.9343089,-0.2039259,0.2856466,6.86668
1.741221,9.154102,-2.471768,-0.06795216,-0.9295814,-0.2186735,0.2888647,6.900013
1.741039,9.154818,-2.472089,-0.07141666,-0.926555,-0.2273695,0.2910306,6.933347
1.740545,9.155559,-2.472537,-0.07189731,-0.9261295,-0.2285508,0.291341,6.96668
1.740221,9.156166,-2.473009,-0.07189731,-0.9261295,-0.2285508,0.291341,7.000014
1.739937,9.15617,-2.474004,-0.07189731,-0.9261295,-0.2285508,0.291341,7.033347
1.739019,9.156829,-2.475163,-0.06854972,-0.9296248,-0.2240414,0.2844364,7.06668
1.738739,9.157041,-2.475544,-0.06274813,-0.9357767,-0.2166864,0.2709827,7.100014
1.737763,9.157575,-2.476227,-0.05855593,-0.9402714,-0.2116839,0.2600975,7.133347
1.737136,9.157669,-2.477233,-0.05744971,-0.9414196,-0.210001,0.2575431,7.166681
1.736575,9.157949,-2.477703,-0.05740388,-0.9414757,-0.2100136,0.2573377,7.200014
1.735897,9.158429,-2.478794,-0.05740388,-0.9414757,-0.2100136,0.2573377,7.233347
1.735179,9.158415,-2.479943,-0.05867979,-0.9401895,-0.212312,0.259854,7.266681
1.734447,9.159336,-2.481172,-0.06470121,-0.9345194,-0.2269475,0.2664252,7.300014
1.73365,9.159505,-2.481455,-0.07515574,-0.9242427,-0.2467859,0.2814672,7.333348
1.733623,9.160211,-2.482157,-0.0844336,-0.9146893,-0.2577537,0.2996292,7.366681
1.733081,9.160483,-2.483175,-0.08862709,-0.9100252,-0.2592276,0.3111276,7.400014
1.732725,9.16091,-2.484269,-0.0898072,-0.9084585,-0.2577102,0.3165808,7.433348
1.732557,9.161016,-2.484962,-0.0898072,-0.9084585,-0.2577102,0.3165808,7.466681
1.732187,9.161888,-2.486064,-0.0898072,-0.9084585,-0.2577102,0.3165808,7.500015
1.732054,9.161989,-2.486986,-0.08986343,-0.9083893,-0.2576906,0.3167791,7.533348
1.731169,9.162638,-2.487321,-0.09147665,-0.9066045,-0.2586809,0.3206002,7.566681
1.730801,9.163664,-2.488232,-0.095248,-0.9024659,-0.2613369,0.3289166,7.600015
1.729764,9.164063,-2.489122,-0.1076104,-0.88845,-0.2680275,0.3567042,7.633348
1.729439,9.164553,-2.490116,-0.11766,-0.8759366,-0.2694734,0.3824596,7.666682
1.729312,9.165426,-2.490254,-0.1259685,-0.8645709,-0.2684564,0.4056848,7.700015
1.728935,9.165713,-2.490363,-0.1281091,-0.8615423,-0.2681345,0.411627,7.733348
1.728641,9.166332,-2.490417,-0.1280853,-0.8618151,-0.2688383,0.4106032,7.766682
1.727965,9.166643,-2.491335,-0.125458,-0.8671412,-0.2746571,0.3960932,7.800015
1.72709,9.167081,-2.491441,-0.1204073,-0.8759751,-0.2850443,0.3700264,7.833349
1.72701,9.167857,-2.491621,-0.1139703,-0.8850394,-0.2961302,0.3406213,7.866682
1.726868,9.168563,-2.492393,-0.1118539,-0.8876249,-0.2993658,0.3316486,7.900015
1.726301,9.169533,-2.493351,-0.1131902,-0.8862006,-0.299747,0.3346463,7.933349
1.72597,9.170442,-2.493844,-0.1135012,-0.8858192,-0.2991873,0.3360488,7.966682
1.725289,9.17104,-2.494745,-0.1135012,-0.8858192,-0.2991873,0.3360488,8.000015
1.724563,9.171451,-2.495344,-0.1135012,-0.8858192,-0.2991873,0.3360488,8.033349
1.724404,9.172127,-2.495862,-0.1133941,-0.8859891,-0.2998908,0.3350082,8.066683
1.724271,9.173127,-2.495997,-0.1080821,-0.891911,-0.3086341,0.3123427,8.100016
1.723955,9.173984,-2.496762,-0.09313841,-0.9057308,-0.3151875,0.2676449,8.133349
1.723137,9.174627,-2.49742,-0.08333082,-0.9135864,-0.3179211,0.2394618,8.166682
1.722561,9.175242,-2.498001,-0.07607137,-0.9193457,-0.3165563,0.2209274,8.200016
1.722203,9.176274,-2.498239,-0.07143843,-0.9235082,-0.3119169,0.2115114,8.23335
1.722164,9.176523,-2.498605,-0.07048535,-0.9241499,-0.3121337,0.2086897,8.266683
1.72224,9.17683,-2.49956,-0.06837642,-0.9256561,-0.3119676,0.2028833,8.300016
1.72236,9.177253,-2.500065,-0.06453255,-0.9300121,-0.3026281,0.1983161,8.333349
1.721804,9.177553,-2.501156,-0.06279252,-0.9346483,-0.2806304,0.2091324,8.366683
1.721358,9.178308,-2.502114,-0.05862352,-0.9406477,-0.2546872,0.2165169,8.400017
1.720662,9.178386,-2.502768,-0.05719869,-0.9427952,-0.2339734,0.2304822,8.43335
1.7202,9.178514,-2.50371,-0.05745527,-0.9425445,-0.2330381,0.2323832,8.466683
1.719333,9.179264,-2.504853,-0.05745527,-0.9425445,-0.2330381,0.2323832,8.500016
1.718621,9.179281,-2.505612,-0.05745527,-0.9425445,-0.2330381,0.2323832,8.53335
1.717761,9.180071,-2.506215,-0.06100774,-0.9389907,-0.2402187,0.238473,8.566684
1.717417,9.181006,-2.507133,-0.06294955,-0.9370399,-0.2451725,0.2405908,8.600017
1.716831,9.181049,-2.507587,-0.06099631,-0.9389793,-0.2358554,0.2428364,8.63335
1.716763,9.181809,-2.508612,-0.05369121,-0.9460803,-0.2149443,0.2363226,8.666683
1.716682,9.18218,-2.509202,-0.04490232,-0.9535017,-0.1805971,0.2370718,8.700017
1.715859,9.182608,-2.510096,-0.04000346,-0.9558414,-0.1552407,0.2463074,8.733351
1.715532,9.183033,-2.510912,-0.03754385,-0.9559039,-0.1407296,0.2550163,8.766684
1.714793,9.183717,-2.511987,-0.03754385,-0.9559039,-0.1407296,0.2550163,8.800017
1.714782,9.184448,-2.512805,-0.03754385,-0.9559039,-0.1407296,0.2550163,8.83335
1.714782,9.184393,-2.513938,-0.03754385,-0.9559039,-0.1407296,0.2550163,8.866684
1.714323,9.184741,-2.514799,-0.03754385,-0.9559039,-0.1407296,0.2550163,8.900018
1.713424,9.185469,-2.515158,-0.03609847,-0.957199,-0.136869,0.252456,8.933351
1.713318,9.186067,-2.515681,-0.0307889,-0.9609663,-0.1194819,0.2476283,8.966684
1.713167,9.186286,-2.516457,-0.02393049,-0.9639956,-0.0930346,0.2479603,9.000017
1.712683,9.186235,-2.516872,-0.01994276,-0.9641755,-0.07588238,0.2533964,9.033351
1.712666,9.186877,-2.517641,-0.01868939,-0.9639235,-0.0703634,0.25603,9.066685
1.71237,9.18656,-2.518778,-0.01863354,-0.9639388,-0.07015315,0.256034,9.100018
1.711552,9.186798,-2.519159,-0.01863354,-0.9639388,-0.07015315,0.256034,9.133351
1.710771,9.187376,-2.519914,-0.01863354,-0.9639388,-0.07015315,0.256034,9.166684
1.710102,9.187323,-2.520636,-0.01826131,-0.9637799,-0.06845075,0.2571175,9.200018
1.710049,9.187111,-2.521015,-0.01476187,-0.964461,-0.05518845,0.2579755,9.233352
1.709117,9.187033,-2.521802,-0.0098387,-0.965117,-0.03665447,0.2590537,9.266685
1.70822,9.187284,-2.522764,-0.005215675,-0.9654485,-0.01938054,0.2598202,9.300018
1.707314,9.187079,-2.523751,-0.002893806,-0.9655265,-0.0107435,0.2600671,9.333351
1.707061,9.187027,-2.524616,-0.002782583,-0.9654744,-0.01032163,0.2602789,9.366685
1.706454,9.187158,-2.525166,-0.002839357,-0.965472,-0.01053222,0.2602783,9.400019
1.706218,9.187366,-2.526456,-0.002839357,-0.965472,-0.01053222,0.2602783,9.433352
1.706191,9.187612,-2.527179,-0.00289613,-0.9654697,-0.01074287,0.2602777,9.466685
1.705606,9.187626,-2.527962,-0.003461182,-0.9655007,-0.01284993,0.2600601,9.500018
1.704927,9.188106,-2.528366,-0.003685057,-0.9655458,-0.01369329,0.2598464,9.533352
1.704467,9.187973,-2.529073,-0.004692554,-0.9620751,-0.01658331,0.2722399,9.566686
1.704323,9.187554,-2.53015,-0.006231964,-0.9535121,-0.01976521,0.3006412,9.600019
1.703727,9.187962,-2.53074,-0.007273048,-0.9425627,-0.02056691,0.3333162,9.633352
1.703417,9.187679,-2.531501,-0.007819831,-0.9359812,-0.02083194,0.3513462,9.666685
