Frame 00000 Rotation: X=0, Y=0, Z=0, W=1 
Frame 00024 Rotation: X=-0.06116945, Y=0.07540036, Z=0.007315385, W=0.9952485 
Frame 00025 Rotation: X=-0.0684911, Y=0.07554793, Z=0.007810983, W=0.9947565 
Frame 00026 Rotation: X=-0.0762123, Y=0.07513101, Z=0.008192431, W=0.9942233 
Frame 00027 Rotation: X=-0.08426435, Y=0.07411443, Z=0.008423771, W=0.9936476 
Frame 00028 Rotation: X=-0.09245683, Y=0.07250293, Z=0.008472722, W=0.9930375 
Frame 00029 Rotation: X=-0.1009478, Y=0.07024673, Z=0.008314586, W=0.9923739 
Frame 00030 Rotation: X=-0.109778, Y=0.06728829, Z=0.007914153, W=0.9916443 
Frame 00031 Rotation: X=-0.1186583, Y=0.06369639, Z=0.007258957, W=0.9908634 
Frame 00032 Rotation: X=-0.1272393, Y=0.05964017, Z=0.006376278, W=0.9900569 
Frame 00033 Rotation: X=-0.1359479, Y=0.05494431, Z=0.005225359, W=0.9891775 
Frame 00034 Rotation: X=-0.1446961, Y=0.04963193, Z=0.003804037, W=0.9882233 
Frame 00035 Rotation: X=-0.1532687, Y=0.04384523, Z=0.002151374, W=0.9872091 
Frame 00036 Rotation: X=-0.1615403, Y=0.03769418, Z=0.000305749, W=0.986146 
Frame 00037 Rotation: X=-0.1698369, Y=0.03095386, Z=-0.001798012, W=0.9849843 
Frame 00038 Rotation: X=-0.177919, Y=0.02378469, Z=-0.004110803, W=0.983749 
Frame 00039 Rotation: X=-0.1856734, Y=0.01631684, Z=-0.006586185, W=0.982454 
Frame 00040 Rotation: X=-0.19324, Y=0.008447642, Z=-0.009254443, W=0.9810715 
Frame 00041 Rotation: X=-0.2003116, Y=0.0005512046, Z=-0.01198312, W=0.9796588 
Frame 00042 Rotation: X=-0.2070651, Y=-0.007491805, Z=-0.0148083, W=0.9781864 
Frame 00043 Rotation: X=-0.2137409, Y=-0.01592634, Z=-0.01781543, W=0.9765981 
Frame 00044 Rotation: X=-0.2202746, Y=-0.02464196, Z=-0.02096794, W=0.9749011 
Frame 00045 Rotation: X=-0.2265231, Y=-0.03338466, Z=-0.02417644, W=0.9731333 
Frame 00046 Rotation: X=-0.2323537, Y=-0.041873, Z=-0.02733844, W=0.971345 
Frame 00047 Rotation: X=-0.238268, Y=-0.05075453, Z=-0.03070061, W=0.9693863 
Frame 00048 Rotation: X=-0.2439491, Y=-0.05949235, Z=-0.03406999, W=0.9673617 
Frame 00049 Rotation: X=-0.2495952, Y=-0.06834271, Z=-0.03755516, W=0.9652053 
Frame 00050 Rotation: X=-0.2551965, Y=-0.07724252, Z=-0.04114214, W=0.9629204 
Frame 00051 Rotation: X=-0.2606861, Y=-0.08603908, Z=-0.04477873, W=0.9605389 
Frame 00052 Rotation: X=-0.2661191, Y=-0.09477954, Z=-0.0484926, W=0.9580427 
Frame 00053 Rotation: X=-0.2715526, Y=-0.1035127, Z=-0.05231298, W=0.9554097 
Frame 00054 Rotation: X=-0.2770131, Y=-0.1122441, Z=-0.05625406, W=0.9526282 
Frame 00055 Rotation: X=-0.2823027, Y=-0.1206136, Z=-0.06015604, W=0.9498099 
Frame 00056 Rotation: X=-0.2875264, Y=-0.1287573, Z=-0.06408016, W=0.9469128 
Frame 00057 Rotation: X=-0.2930215, Y=-0.1371561, Z=-0.06827236, W=0.9437508 
Frame 00058 Rotation: X=-0.2985991, Y=-0.1454661, Z=-0.07258099, W=0.9404309 
Frame 00059 Rotation: X=-0.3040374, Y=-0.1533149, Z=-0.07681287, W=0.9370996 
Frame 00060 Rotation: X=-0.3095704, Y=-0.1609557, Z=-0.08110601, W=0.9336387 
Frame 00061 Rotation: X=-0.3153461, Y=-0.1684627, Z=-0.08552129, W=0.9299803 
Frame 00062 Rotation: X=-0.3213018, Y=-0.1756212, Z=-0.08995025, W=0.9261919 
Frame 00063 Rotation: X=-0.3273565, Y=-0.182236, Z=-0.09427436, W=0.9223557 
Frame 00064 Rotation: X=-0.3336868, Y=-0.1883749, Z=-0.09854061, W=0.9183996 
Frame 00065 Rotation: X=-0.3401969, Y=-0.1938588, Z=-0.1026208, W=0.9144145 
Frame 00066 Rotation: X=-0.3469494, Y=-0.1986009, Z=-0.1064435, W=0.910414 
Frame 00067 Rotation: X=-0.3538931, Y=-0.2024864, Z=-0.1098989, W=0.9064664 
Frame 00068 Rotation: X=-0.3611672, Y=-0.205467, Z=-0.1129346, W=0.902545 
Frame 00069 Rotation: X=-0.3686491, Y=-0.2073772, Z=-0.115376, W=0.8987664 
Frame 00070 Rotation: X=-0.3764154, Y=-0.2080823, Z=-0.1170877, W=0.8951557 
Frame 00071 Rotation: X=-0.3841583, Y=-0.2074826, Z=-0.1178946, W=0.8918936 
Frame 00072 Rotation: X=-0.3924352, Y=-0.2053561, Z=-0.1176727, W=0.8888063 
Frame 00073 Rotation: X=-0.4006938, Y=-0.2016492, Z=-0.11625, W=0.8861535 
Frame 00074 Rotation: X=-0.4090332, Y=-0.1962318, Z=-0.1135199, W=0.8839107 
Frame 00075 Rotation: X=-0.4170482, Y=-0.189357, Z=-0.1096072, W=0.882157 
Frame 00076 Rotation: X=-0.4251482, Y=-0.1806559, Z=-0.104323, W=0.8807549 
Frame 00077 Rotation: X=-0.4329168, Y=-0.1705065, Z=-0.09793042, W=0.8797274 
Frame 00078 Rotation: X=-0.4402996, Y=-0.1590348, Z=-0.09057116, W=0.8790001 
Frame 00079 Rotation: X=-0.4470656, Y=-0.1467251, Z=-0.08262091, W=0.8785089 
Frame 00080 Rotation: X=-0.4532847, Y=-0.1336182, Z=-0.07416335, W=0.878168 
Frame 00081 Rotation: X=-0.4587811, Y=-0.1203397, Z=-0.06564289, W=0.8779119 
Frame 00082 Rotation: X=-0.4637808, Y=-0.1066157, Z=-0.0569088, W=0.8776685 
Frame 00083 Rotation: X=-0.4681726, Y=-0.09300835, Z=-0.04832956, W=0.8773986 
Frame 00084 Rotation: X=-0.4720872, Y=-0.07944684, Z=-0.03985642, W=0.8770595 
Frame 00085 Rotation: X=-0.475521, Y=-0.0662337, Z=-0.03167087, W=0.8766356 
Frame 00086 Rotation: X=-0.4786116, Y=-0.05322329, Z=-0.02366585, W=0.8760926 
Frame 00087 Rotation: X=-0.48131, Y=-0.04094525, Z=-0.01615282, W=0.8754446 
Frame 00088 Rotation: X=-0.4838353, Y=-0.0288588, Z=-0.008778229, W=0.8746392 
Frame 00089 Rotation: X=-0.4861293, Y=-0.01753399, Z=-0.001876949, W=0.873709 
Frame 00090 Rotation: X=-0.488313, Y=-0.006791952, Z=0.004677807, W=0.8726296 
Frame 00091 Rotation: X=-0.4903787, Y=0.002942883, Z=0.010641, W=0.8714395 
Frame 00092 Rotation: X=-0.4924643, Y=0.01195679, Z=0.01619782, W=0.8700998 
Frame 00093 Rotation: X=-0.4946115, Y=0.02004954, Z=0.02123139, W=0.8686235 
Frame 00094 Rotation: X=-0.4969149, Y=0.02722649, Z=0.02574353, W=0.86699 
Frame 00095 Rotation: X=-0.4993927, Y=0.03334106, Z=0.02962669, W=0.8652269 
Frame 00096 Rotation: X=-0.5019021, Y=0.03803398, Z=0.03262625, W=0.8634716 
Frame 00097 Rotation: X=-0.5046208, Y=0.0416429, Z=0.03492851, W=0.8616286 
Frame 00098 Rotation: X=-0.5074387, Y=0.04398618, Z=0.03638851, W=0.8597948 
Frame 00099 Rotation: X=-0.5104258, Y=0.04502712, Z=0.03694844, W=0.8579469 
Frame 00100 Rotation: X=-0.5134613, Y=0.04477758, Z=0.03659805, W=0.8561618 
Frame 00101 Rotation: X=-0.5164815, Y=0.04323781, Z=0.03532222, W=0.8544763 
Frame 00102 Rotation: X=-0.5192825, Y=0.04063709, Z=0.03328747, W=0.8529868 
Frame 00103 Rotation: X=-0.5222986, Y=0.03657468, Z=0.03017863, W=0.8514433 
Frame 00104 Rotation: X=-0.5249967, Y=0.03171583, Z=0.02651357, W=0.8500997 
Frame 00105 Rotation: X=-0.5274321, Y=0.02613954, Z=0.02235877, W=0.8489006 
Frame 00106 Rotation: X=-0.5296623, Y=0.01979504, Z=0.01769025, W=0.847793 
Frame 00107 Rotation: X=-0.531574, Y=0.01289483, Z=0.01268792, W=0.8468187 
Frame 00108 Rotation: X=-0.5331169, Y=0.005524661, Z=0.007438968, W=0.8459909 
Frame 00109 Rotation: X=-0.5342209, Y=-0.002004821, Z=0.002186946, W=0.8453397 
Frame 00110 Rotation: X=-0.5349587, Y=-0.01063296, Z=-0.003683446, W=0.8448033 
Frame 00111 Rotation: X=-0.5351787, Y=-0.01912361, Z=-0.00929538, W=0.8444713 
Frame 00112 Rotation: X=-0.5349022, Y=-0.02789831, Z=-0.01490822, W=0.8443217 
Frame 00113 Rotation: X=-0.5340907, Y=-0.03706326, Z=-0.02055547, W=0.8443642 
Frame 00114 Rotation: X=-0.532765, Y=-0.04625725, Z=-0.02599013, W=0.8445983 
Frame 00115 Rotation: X=-0.5308742, Y=-0.05571887, Z=-0.03132702, W=0.8450365 
Frame 00116 Rotation: X=-0.5284617, Y=-0.06520341, Z=-0.03640784, W=0.8456662 
Frame 00117 Rotation: X=-0.5254813, Y=-0.07489, Z=-0.04131173, W=0.8464953 
Frame 00118 Rotation: X=-0.5219533, Y=-0.0846952, Z=-0.04597038, W=0.847513 
Frame 00119 Rotation: X=-0.5178989, Y=-0.09457298, Z=-0.05034408, W=0.8487062 
Frame 00120 Rotation: X=-0.5130829, Y=-0.1050979, Z=-0.05465085, W=0.8501257 
Frame 00121 Rotation: X=-0.5076611, Y=-0.1158814, Z=-0.0586929, W=0.8517082 
Frame 00122 Rotation: X=-0.5015725, Y=-0.1270769, Z=-0.06251002, W=0.8534454 
Frame 00123 Rotation: X=-0.4950514, Y=-0.1382769, Z=-0.06596079, W=0.8552502 
Frame 00124 Rotation: X=-0.4878523, Y=-0.1499507, Z=-0.06918824, W=0.8571627 
Frame 00125 Rotation: X=-0.4803928, Y=-0.1614525, Z=-0.07202262, W=0.859051 
Frame 00126 Rotation: X=-0.4724241, Y=-0.1732188, Z=-0.07459199, W=0.8609569 
Frame 00127 Rotation: X=-0.4640492, Y=-0.1851266, Z=-0.07688028, W=0.8628302 
Frame 00128 Rotation: X=-0.4555101, Y=-0.1968718, Z=-0.07885727, W=0.8646003 
Frame 00129 Rotation: X=-0.4469002, Y=-0.2083808, Z=-0.0805474, W=0.8662389 
Frame 00130 Rotation: X=-0.4380135, Y=-0.2199628, Z=-0.08202226, W=0.8677747 
Frame 00131 Rotation: X=-0.428926, Y=-0.2315182, Z=-0.08328819, W=0.8691864 
Frame 00132 Rotation: X=-0.4199995, Y=-0.2426081, Z=-0.08432645, W=0.87042 
Frame 00133 Rotation: X=-0.4108693, Y=-0.2537025, Z=-0.08520051, W=0.8715287 
Frame 00134 Rotation: X=-0.4019391, Y=-0.2643128, Z=-0.08589854, W=0.8724707 
Frame 00135 Rotation: X=-0.393018, Y=-0.2746774, Z=-0.08645812, W=0.8732779 
Frame 00136 Rotation: X=-0.3842272, Y=-0.2846588, Z=-0.08688753, W=0.8739504 
Frame 00137 Rotation: X=-0.3757615, Y=-0.2940438, Z=-0.0872015, W=0.8744927 
Frame 00138 Rotation: X=-0.3676387, Y=-0.302824, Z=-0.08741947, W=0.874927 
Frame 00139 Rotation: X=-0.359487, Y=-0.3113943, Z=-0.08756453, W=0.8752915 
Frame 00140 Rotation: X=-0.3515155, Y=-0.3195144, Z=-0.08764037, W=0.875595 
Frame 00141 Rotation: X=-0.343801, Y=-0.327088, Z=-0.08765911, W=0.8758597 
Frame 00142 Rotation: X=-0.3364486, Y=-0.3339942, Z=-0.08762455, W=0.876112 
Frame 00143 Rotation: X=-0.3293805, Y=-0.3402886, Z=-0.08753812, W=0.8763843 
Frame 00144 Rotation: X=-0.3225068, Y=-0.3460217, Z=-0.08739922, W=0.8767096 
Frame 00145 Rotation: X=-0.3160309, Y=-0.3510001, Z=-0.08721066, W=0.8771076 
Frame 00146 Rotation: X=-0.3099251, Y=-0.3552364, Z=-0.08696898, W=0.8776047 
Frame 00147 Rotation: X=-0.3040206, Y=-0.3588242, Z=-0.08666387, W=0.8782403 
Frame 00148 Rotation: X=-0.2984706, Y=-0.3616328, Z=-0.08629286, W=0.8790283 
Frame 00149 Rotation: X=-0.2931585, Y=-0.3636971, Z=-0.08584003, W=0.8800079 
Frame 00150 Rotation: X=-0.2881575, Y=-0.3649547, Z=-0.08529992, W=0.8811908 
Frame 00151 Rotation: X=-0.2834311, Y=-0.3653974, Z=-0.08466036, W=0.8826008 
Frame 00152 Rotation: X=-0.2789788, Y=-0.3650022, Z=-0.08390973, W=0.884253 
Frame 00153 Rotation: X=-0.2748289, Y=-0.3637755, Z=-0.08304828, W=0.8861374 
Frame 00154 Rotation: X=-0.2709071, Y=-0.3617016, Z=-0.08205757, W=0.8882837 
Frame 00155 Rotation: X=-0.2672278, Y=-0.3587921, Z=-0.08093889, W=0.8906776 
Frame 00156 Rotation: X=-0.2637325, Y=-0.355029, Z=-0.0796782, W=0.893337 
Frame 00157 Rotation: X=-0.2603862, Y=-0.350405, Z=-0.0782685, W=0.8962641 
Frame 00158 Rotation: X=-0.2572182, Y=-0.3450225, Z=-0.07673523, W=0.8993943 
Frame 00159 Rotation: X=-0.2542381, Y=-0.3390239, Z=-0.07511038, W=0.902654 
Frame 00160 Rotation: X=-0.2512789, Y=-0.3321613, Z=-0.07332361, W=0.9061741 
Frame 00161 Rotation: X=-0.2484157, Y=-0.3246792, Z=-0.07143826, W=0.9098185 
Frame 00162 Rotation: X=-0.2456173, Y=-0.3166151, Z=-0.06946103, W=0.9135657 
Frame 00163 Rotation: X=-0.2428817, Y=-0.3080721, Z=-0.06741535, W=0.9173632 
Frame 00164 Rotation: X=-0.2401938, Y=-0.2991013, Z=-0.06531147, W=0.9211839 
Frame 00165 Rotation: X=-0.2375914, Y=-0.2898622, Z=-0.06318656, W=0.9249528 
Frame 00166 Rotation: X=-0.2350346, Y=-0.2802033, Z=-0.06100654, W=0.9287212 
Frame 00167 Rotation: X=-0.2325919, Y=-0.2703727, Z=-0.05882713, W=0.9323835 
Frame 00168 Rotation: X=-0.2302922, Y=-0.2605164, Z=-0.05667761, W=0.9358869 
Frame 00169 Rotation: X=-0.228009, Y=-0.2500821, Z=-0.05443626, W=0.9394187 
Frame 00170 Rotation: X=-0.225839, Y=-0.2394673, Z=-0.05218793, W=0.9428301 
Frame 00171 Rotation: X=-0.223801, Y=-0.2287802, Z=-0.04995199, W=0.9460854 
Frame 00172 Rotation: X=-0.2218901, Y=-0.2180236, Z=-0.04772538, W=0.9491853 
Frame 00173 Rotation: X=-0.2200254, Y=-0.2067207, Z=-0.045407, W=0.9522571 
Frame 00174 Rotation: X=-0.2182783, Y=-0.1952511, Z=-0.04307255, W=0.9551839 
Frame 00175 Rotation: X=-0.216669, Y=-0.1837515, Z=-0.04074581, W=0.9579299 
Frame 00176 Rotation: X=-0.2151569, Y=-0.1719629, Z=-0.03837119, W=0.960554 
Frame 00177 Rotation: X=-0.2137691, Y=-0.1601312, Z=-0.03599589, W=0.962998 
Frame 00178 Rotation: X=-0.2125294, Y=-0.1485835, Z=-0.03368337, W=0.9652045 
Frame 00179 Rotation: X=-0.2113077, Y=-0.1361849, Z=-0.03120532, W=0.9673826 
Frame 00180 Rotation: X=-0.2102187, Y=-0.1242266, Z=-0.02881956, W=0.9693015 
Frame 00181 Rotation: X=-0.2091524, Y=-0.1116719, Z=-0.02631944, W=0.9711292 
Frame 00182 Rotation: X=-0.2081327, Y=-0.09891638, Z=-0.02378508, W=0.9727953 
Frame 00183 Rotation: X=-0.2071618, Y=-0.08624671, Z=-0.02127582, W=0.9742653 
Frame 00184 Rotation: X=-0.2062236, Y=-0.07373994, Z=-0.01880974, W=0.9755412 
Frame 00185 Rotation: X=-0.2052406, Y=-0.06064349, Z=-0.01624336, W=0.976696 
Frame 00186 Rotation: X=-0.2042541, Y=-0.04780134, Z=-0.01374821, W=0.9776534 
Frame 00187 Rotation: X=-0.2032, Y=-0.03469229, Z=-0.01122992, W=0.978458 
Frame 00188 Rotation: X=-0.2020762, Y=-0.02158214, Z=-0.008747897, W=0.979093 
Frame 00189 Rotation: X=-0.2008405, Y=-0.008202721, Z=-0.006259504, W=0.9795696 
Frame 00190 Rotation: X=-0.1995487, Y=0.004696557, Z=-0.003910374, W=0.9798688 
Frame 00191 Rotation: X=-0.1980885, Y=0.01811703, Z=-0.001524752, W=0.9800156 
Frame 00192 Rotation: X=-0.1965079, Y=0.03145902, Z=0.0007804547, W=0.9799971 
Frame 00193 Rotation: X=-0.1947888, Y=0.04480689, Z=0.003013682, W=0.9798167 
Frame 00194 Rotation: X=-0.1929272, Y=0.05811769, Z=0.005160476, W=0.9794768 
Frame 00195 Rotation: X=-0.1908999, Y=0.07152832, Z=0.007237442, W=0.9789732 
Frame 00196 Rotation: X=-0.1888054, Y=0.08439834, Z=0.009143575, W=0.9783382 
Frame 00197 Rotation: X=-0.1865209, Y=0.09750883, Z=0.0109934, W=0.9775383 
Frame 00198 Rotation: X=-0.1841166, Y=0.1104261, Z=0.01271956, W=0.9765989 
Frame 00199 Rotation: X=-0.1815445, Y=0.1234199, Z=0.0143558, W=0.9755014 
Frame 00200 Rotation: X=-0.1788287, Y=0.1363746, Z=0.01588321, W=0.9742537 
Frame 00201 Rotation: X=-0.1760062, Y=0.1491193, Z=0.01727782, W=0.9728756 
Frame 00202 Rotation: X=-0.1731367, Y=0.1615232, Z=0.01853806, W=0.9713858 
Frame 00203 Rotation: X=-0.17011, Y=0.1740726, Z=0.01971002, W=0.9697283 
Frame 00204 Rotation: X=-0.166946, Y=0.1867043, Z=0.02078345, W=0.9679042 
Frame 00205 Rotation: X=-0.1637629, Y=0.1990014, Z=0.0217259, W=0.9659752 
Frame 00206 Rotation: X=-0.1604232, Y=0.2115555, Z=0.02258733, W=0.9638457 
Frame 00207 Rotation: X=-0.1570539, Y=0.2239345, Z=0.02333809, W=0.9615835 
Frame 00208 Rotation: X=-0.1535727, Y=0.2365078, Z=0.02400636, W=0.9591159 
Frame 00209 Rotation: X=-0.1500589, Y=0.2490486, Z=0.02458367, W=0.9564794 
Frame 00210 Rotation: X=-0.1465133, Y=0.2616385, Z=0.02508402, W=0.9536509 
Frame 00211 Rotation: X=-0.142976, Y=0.274206, Z=0.0255124, W=0.9506409 
Frame 00212 Rotation: X=-0.1394884, Y=0.2866642, Z=0.02587398, W=0.9474688 
Frame 00213 Rotation: X=-0.1359926, Y=0.2992714, Z=0.02618161, W=0.9440641 
Frame 00214 Rotation: X=-0.1324574, Y=0.3121947, Z=0.02644158, W=0.9403672 
Frame 00215 Rotation: X=-0.1291358, Y=0.3245414, Z=0.02664298, W=0.936636 
Frame 00216 Rotation: X=-0.1257208, Y=0.3374844, Z=0.02681044, W=0.9325126 
Frame 00217 Rotation: X=-0.1224408, Y=0.3501951, Z=0.02693548, W=0.928249 
Frame 00218 Rotation: X=-0.1191221, Y=0.36337, Z=0.02702895, W=0.9236025 
Frame 00219 Rotation: X=-0.115875, Y=0.3766075, Z=0.02709055, W=0.918698 
Frame 00220 Rotation: X=-0.1125812, Y=0.3904152, Z=0.027125, W=0.9133268 
Frame 00221 Rotation: X=-0.1093672, Y=0.4042892, Z=0.02713329, W=0.9076635 
Frame 00222 Rotation: X=-0.1061979, Y=0.4183832, Z=0.02711901, W=0.901633 
Frame 00223 Rotation: X=-0.1031085, Y=0.4325441, Z=0.0270868, W=0.8952881 
Frame 00224 Rotation: X=-0.1002071, Y=0.4462487, Z=0.02704417, W=0.8888697 
Frame 00225 Rotation: X=-0.09724375, Y=0.4606769, Z=0.02699192, W=0.8818118 
Frame 00226 Rotation: X=-0.09437244, Y=0.4750832, Z=0.02693722, W=0.8744507 
Frame 00227 Rotation: X=-0.09158283, Y=0.4894963, Z=0.02688323, W=0.866766 
Frame 00228 Rotation: X=-0.08888083, Y=0.5038502, Z=0.02683338, W=0.8587871 
Frame 00229 Rotation: X=-0.08623966, Y=0.5182492, Z=0.02678889, W=0.8504486 
Frame 00230 Rotation: X=-0.08366165, Y=0.532639, Z=0.02675194, W=0.8417724 
Frame 00231 Rotation: X=-0.08117853, Y=0.5467914, Z=0.0267242, W=0.8328955 
Frame 00232 Rotation: X=-0.07875066, Y=0.5608796, Z=0.02670411, W=0.8237106 
Frame 00233 Rotation: X=-0.07646003, Y=0.5743655, Z=0.02668992, W=0.8145831 
Frame 00234 Rotation: X=-0.07418496, Y=0.5879097, Z=0.02668148, W=0.8050757 
Frame 00235 Rotation: X=-0.07201423, Y=0.6009691, Z=0.02668249, W=0.7955742 
Frame 00236 Rotation: X=-0.06989695, Y=0.6138412, Z=0.02670067, W=0.7858756 
Frame 00237 Rotation: X=-0.06785664, Y=0.6263799, Z=0.02674023, W=0.7760983 
Frame 00238 Rotation: X=-0.06587978, Y=0.6386597, Z=0.02680583, W=0.7661952 
Frame 00239 Rotation: X=-0.06398205, Y=0.6505755, Z=0.02689997, W=0.7562634 
Frame 00240 Rotation: X=-0.0621583, Y=0.6621494, Z=0.02702445, W=0.7463003 
Frame 00241 Rotation: X=-0.06044437, Y=0.6731405, Z=0.02717603, W=0.7365391 
Frame 00242 Rotation: X=-0.05874616, Y=0.6841365, Z=0.02736227, W=0.7264692 
Frame 00243 Rotation: X=-0.05711801, Y=0.6947785, Z=0.02757664, W=0.7164216 
Frame 00244 Rotation: X=-0.05553943, Y=0.7051839, Z=0.02781845, W=0.7062983 
Frame 00245 Rotation: X=-0.05403198, Y=0.7151895, Z=0.02807885, W=0.696273 
Frame 00246 Rotation: X=-0.05261671, Y=0.7246368, Z=0.02834829, W=0.6865345 
Frame 00247 Rotation: X=-0.05121845, Y=0.7340137, Z=0.0286382, W=0.6765948 
Frame 00248 Rotation: X=-0.04987086, Y=0.7430879, Z=0.02894008, W=0.6667051 
Frame 00249 Rotation: X=-0.04857651, Y=0.7518277, Z=0.02924916, W=0.6569171 
Frame 00250 Rotation: X=-0.04731227, Y=0.7603766, Z=0.0295667, W=0.6470817 
Frame 00251 Rotation: X=-0.04608997, Y=0.7686408, Z=0.02988465, W=0.6373177 
Frame 00252 Rotation: X=-0.04489168, Y=0.7767274, Z=0.03020172, W=0.6275088 
Frame 00253 Rotation: X=-0.04375501, Y=0.7843696, Z=0.0305013, W=0.6179963 
Frame 00254 Rotation: X=-0.04264766, Y=0.7917691, Z=0.03078437, W=0.6085519 
Frame 00255 Rotation: X=-0.04155633, Y=0.7989989, Z=0.03104644, W=0.5990911 
Frame 00256 Rotation: X=-0.04048611, Y=0.8060077, Z=0.03127743, W=0.5896899 
Frame 00257 Rotation: X=-0.03942001, Y=0.812889, Z=0.03147162, W=0.5802302 
Frame 00258 Rotation: X=-0.03836923, Y=0.8195632, Z=0.03162358, W=0.5708275 
Frame 00259 Rotation: X=-0.03735206, Y=0.8259096, Z=0.03172989, W=0.5616683 
Frame 00260 Rotation: X=-0.03633247, Y=0.8321525, Z=0.03179465, W=0.5524412 
Frame 00261 Rotation: X=-0.03534462, Y=0.8380833, Z=0.03181606, W=0.5434657 
Frame 00262 Rotation: X=-0.03436466, Y=0.8438433, Z=0.0317929, W=0.5345436 
Frame 00263 Rotation: X=-0.03339647, Y=0.8494102, Z=0.03172538, W=0.525719 
Frame 00264 Rotation: X=-0.03247713, Y=0.8545759, Z=0.03161616, W=0.517345 
Frame 00265 Rotation: X=-0.0315405, Y=0.8597136, Z=0.03145697, W=0.5088303 
Frame 00266 Rotation: X=-0.0306553, Y=0.8644513, Z=0.0312598, W=0.5008064 
Frame 00267 Rotation: X=-0.02976272, Y=0.869109, Z=0.03101175, W=0.4927495 
Frame 00268 Rotation: X=-0.02887699, Y=0.8736101, Z=0.03071368, W=0.4847972 
Frame 00269 Rotation: X=-0.02800693, Y=0.877916, Z=0.03036918, W=0.4770291 
Frame 00270 Rotation: X=-0.02715399, Y=0.8820325, Z=0.02997963, W=0.4694493 
Frame 00271 Rotation: X=-0.02633517, Y=0.8858953, Z=0.02955766, W=0.4621931 
Frame 00272 Rotation: X=-0.02552221, Y=0.8896503, Z=0.02909149, W=0.4549995 
Frame 00273 Rotation: X=-0.02468988, Y=0.8934171, Z=0.0285632, W=0.4476388 
Frame 00274 Rotation: X=-0.02386939, Y=0.8970574, Z=0.02798929, W=0.4403804 
Frame 00275 Rotation: X=-0.02305618, Y=0.9005973, Z=0.02736615, W=0.4331791 
Frame 00276 Rotation: X=-0.02227886, Y=0.9039196, Z=0.02671722, W=0.4262853 
Frame 00277 Rotation: X=-0.0214864, Y=0.9072464, Z=0.02599796, W=0.4192452 
Frame 00278 Rotation: X=-0.02071218, Y=0.9104382, Z=0.0252355, W=0.4123548 
Frame 00279 Rotation: X=-0.01993941, Y=0.9135668, Z=0.02441144, W=0.4054654 
Frame 00280 Rotation: X=-0.01920078, Y=0.9165034, Z=0.02356075, W=0.3988707 
Frame 00281 Rotation: X=-0.01846087, Y=0.9193894, Z=0.02264198, W=0.3922623 
Frame 00282 Rotation: X=-0.01773405, Y=0.9221647, Z=0.02166969, W=0.3857825 
Frame 00283 Rotation: X=-0.01701204, Y=0.9248577, Z=0.02063019, W=0.3793721 
Frame 00284 Rotation: X=-0.01627611, Y=0.9275313, Z=0.01949113, W=0.3728817 
Frame 00285 Rotation: X=-0.01553941, Y=0.9301301, Z=0.01826718, W=0.3664464 
Frame 00286 Rotation: X=-0.014836, Y=0.9325334, Z=0.01701733, W=0.3603772 
