Frame 00000 Position: X=0, Y=0, Z=0 
Frame 00038 Position: X=0.2979404, Y=-0.2251983, Z=3.562585 
Frame 00039 Position: X=0.3893033, Y=-0.2017121, Z=3.606254 
Frame 00040 Position: X=0.4766808, Y=-0.1784735, Z=3.652295 
Frame 00041 Position: X=0.5562673, Y=-0.1565065, Z=3.699488 
Frame 00042 Position: X=0.6285923, Y=-0.1357145, Z=3.748541 
Frame 00043 Position: X=0.7075506, Y=-0.1118193, Z=3.811864 
Frame 00044 Position: X=0.772646, Y=-0.09078884, Z=3.875712 
Frame 00045 Position: X=0.8304258, Y=-0.07056475, Z=3.946749 
Frame 00046 Position: X=0.8735701, Y=-0.05388212, Z=4.014902 
Frame 00047 Position: X=0.9161555, Y=-0.03520775, Z=4.106431 
Frame 00048 Position: X=0.9509255, Y=-0.02177429, Z=4.200765 
Frame 00049 Position: X=0.9826115, Y=-0.01243925, Z=4.30219 
Frame 00050 Position: X=1.011885, Y=-0.006352425, Z=4.412052 
Frame 00051 Position: X=1.038612, Y=-0.002977848, Z=4.529647 
Frame 00052 Position: X=1.062309, Y=-0.001750469, Z=4.652288 
Frame 00053 Position: X=1.08306, Y=-0.002015114, Z=4.779562 
Frame 00054 Position: X=1.100824, Y=-0.003144741, Z=4.910583 
Frame 00055 Position: X=1.114923, Y=-0.004455566, Z=5.038013 
Frame 00056 Position: X=1.126522, Y=-0.005473137, Z=5.171057 
Frame 00057 Position: X=1.135445, Y=-0.005558014, Z=5.311367 
Frame 00058 Position: X=1.140987, Y=-0.004025459, Z=5.450216 
Frame 00059 Position: X=1.143194, Y=-0.0005145073, Z=5.581329 
Frame 00060 Position: X=1.142339, Y=0.005692959, Z=5.713615 
Frame 00061 Position: X=1.137917, Y=0.01587152, Z=5.852239 
Frame 00062 Position: X=1.130168, Y=0.02978754, Z=5.982565 
Frame 00063 Position: X=1.118855, Y=0.04849672, Z=6.109585 
Frame 00064 Position: X=1.104178, Y=0.07219458, Z=6.229954 
Frame 00065 Position: X=1.085697, Y=0.1021194, Z=6.345939 
Frame 00066 Position: X=1.063693, Y=0.1383371, Z=6.454284 
Frame 00067 Position: X=1.037951, Y=0.1817169, Z=6.555091 
Frame 00068 Position: X=1.008708, Y=0.2323618, Z=6.64658 
Frame 00069 Position: X=0.9753839, Y=0.2917838, Z=6.729475 
Frame 00070 Position: X=0.9383927, Y=0.3597107, Z=6.801589 
Frame 00071 Position: X=0.8998027, Y=0.4286504, Z=6.857579 
Frame 00072 Position: X=0.8432739, Y=0.5246153, Z=6.917406 
Frame 00073 Position: X=0.782301, Y=0.6243854, Z=6.964976 
Frame 00074 Position: X=0.7150455, Y=0.7317576, Z=7.004827 
Frame 00075 Position: X=0.6501223, Y=0.8336854, Z=7.03476 
Frame 00076 Position: X=0.564119, Y=0.9670038, Z=7.065306 
Frame 00077 Position: X=0.4800922, Y=1.096032, Z=7.087831 
Frame 00078 Position: X=0.3926751, Y=1.229475, Z=7.105595 
Frame 00079 Position: X=0.3006812, Y=1.369425, Z=7.119562 
Frame 00080 Position: X=0.2073236, Y=1.511277, Z=7.129968 
Frame 00081 Position: X=0.1170071, Y=1.648609, Z=7.1373 
Frame 00082 Position: X=0.01700765, Y=1.801068, Z=7.143114 
Frame 00083 Position: X=-0.07933086, Y=1.94863, Z=7.147145 
Frame 00084 Position: X=-0.1741644, Y=2.094837, Z=7.150252 
Frame 00085 Position: X=-0.2678208, Y=2.240476, Z=7.153091 
Frame 00086 Position: X=-0.3586535, Y=2.383272, Z=7.156239 
Frame 00087 Position: X=-0.4373679, Y=2.508599, Z=7.15981 
Frame 00088 Position: X=-0.5307919, Y=2.659822, Z=7.165873 
Frame 00089 Position: X=-0.6120147, Y=2.794169, Z=7.17368 
Frame 00090 Position: X=-0.6872603, Y=2.921866, Z=7.184128 
Frame 00091 Position: X=-0.7534898, Y=3.037808, Z=7.197119 
Frame 00092 Position: X=-0.8202094, Y=3.159447, Z=7.215672 
Frame 00093 Position: X=-0.8762631, Y=3.267357, Z=7.237972 
Frame 00094 Position: X=-0.9269197, Y=3.368267, Z=7.264138 
Frame 00095 Position: X=-0.9784523, Y=3.466778, Z=7.291826 
Frame 00096 Position: X=-1.027369, Y=3.557051, Z=7.318999 
Frame 00097 Position: X=-1.077233, Y=3.646706, Z=7.34775 
Frame 00098 Position: X=-1.126357, Y=3.733504, Z=7.377298 
Frame 00099 Position: X=-1.177373, Y=3.822932, Z=7.409538 
Frame 00100 Position: X=-1.224902, Y=3.906495, Z=7.441319 
Frame 00101 Position: X=-1.267556, Y=3.982556, Z=7.471626 
Frame 00102 Position: X=-1.31024, Y=4.060703, Z=7.504107 
Frame 00103 Position: X=-1.352302, Y=4.141085, Z=7.538883 
Frame 00104 Position: X=-1.389296, Y=4.21625, Z=7.572584 
Frame 00105 Position: X=-1.419005, Y=4.281384, Z=7.60264 
Frame 00106 Position: X=-1.451841, Y=4.361467, Z=7.640562 
Frame 00107 Position: X=-1.477417, Y=4.434106, Z=7.675751 
Frame 00108 Position: X=-1.498068, Y=4.505804, Z=7.711074 
Frame 00109 Position: X=-1.513423, Y=4.5769, Z=7.746524 
Frame 00110 Position: X=-1.523151, Y=4.648541, Z=7.782502 
Frame 00111 Position: X=-1.526575, Y=4.719237, Z=7.818082 
Frame 00112 Position: X=-1.523464, Y=4.789411, Z=7.853297 
Frame 00113 Position: X=-1.513553, Y=4.859347, Z=7.888124 
Frame 00114 Position: X=-1.49613, Y=4.930792, Z=7.923255 
Frame 00115 Position: X=-1.471029, Y=5.002527, Z=7.957911 
Frame 00116 Position: X=-1.440011, Y=5.070734, Z=7.990156 
Frame 00117 Position: X=-1.399218, Y=5.142639, Z=8.023396 
Frame 00118 Position: X=-1.340984, Y=5.215759, Z=8.05813 
Frame 00119 Position: X=-1.271005, Y=5.283346, Z=8.09149 
Frame 00120 Position: X=-1.168835, Y=5.364367, Z=8.132865 
Frame 00121 Position: X=-1.059188, Y=5.43895, Z=8.172095 
Frame 00122 Position: X=-0.938562, Y=5.512353, Z=8.211599 
Frame 00123 Position: X=-0.8140458, Y=5.582009, Z=8.249751 
Frame 00124 Position: X=-0.6671689, Y=5.658844, Z=8.292411 
Frame 00125 Position: X=-0.5189587, Y=5.732416, Z=8.333651 
Frame 00126 Position: X=-0.368511, Y=5.804404, Z=8.374205 
Frame 00127 Position: X=-0.2138419, Y=5.876658, Z=8.414938 
Frame 00128 Position: X=-0.05755186, Y=5.948794, Z=8.455456 
Frame 00129 Position: X=0.08706307, Y=6.015521, Z=8.49264 
Frame 00130 Position: X=0.2431144, Y=6.088373, Z=8.532724 
Frame 00131 Position: X=0.3872228, Y=6.157375, Z=8.57 
Frame 00132 Position: X=0.5256423, Y=6.226356, Z=8.606381 
Frame 00133 Position: X=0.6517999, Y=6.29292, Z=8.640443 
Frame 00134 Position: X=0.7691357, Y=6.359896, Z=8.673443 
Frame 00135 Position: X=0.8706903, Y=6.424395, Z=8.703774 
Frame 00136 Position: X=0.9582321, Y=6.488722, Z=8.732344 
Frame 00137 Position: X=1.024002, Y=6.547733, Z=8.756816 
Frame 00138 Position: X=1.074017, Y=6.607931, Z=8.779781 
Frame 00139 Position: X=1.104117, Y=6.669809, Z=8.800934 
Frame 00140 Position: X=1.109058, Y=6.728206, Z=8.818228 
Frame 00141 Position: X=1.089895, Y=6.785968, Z=8.830696 
Frame 00142 Position: X=1.049671, Y=6.842529, Z=8.836893 
Frame 00143 Position: X=0.9903216, Y=6.898132, Z=8.837655 
Frame 00144 Position: X=0.9139895, Y=6.95258, Z=8.833733 
Frame 00145 Position: X=0.819759, Y=7.00738, Z=8.825582 
Frame 00146 Position: X=0.7247795, Y=7.054775, Z=8.815504 
Frame 00147 Position: X=0.5943608, Y=7.111934, Z=8.800111 
Frame 00148 Position: X=0.4622311, Y=7.16361, Z=8.783642 
Frame 00149 Position: X=0.3216904, Y=7.21379, Z=8.765833 
Frame 00150 Position: X=0.1717132, Y=7.26335, Z=8.747005 
Frame 00151 Position: X=0.01533109, Y=7.31171, Z=8.727994 
Frame 00152 Position: X=-0.146412, Y=7.358979, Z=8.709396 
Frame 00153 Position: X=-0.3119903, Y=7.405103, Z=8.69188 
Frame 00154 Position: X=-0.4771269, Y=7.449306, Z=8.676368 
Frame 00155 Position: X=-0.642778, Y=7.49224, Z=8.663255 
Frame 00156 Position: X=-0.8057044, Y=7.533424, Z=8.653316 
Frame 00157 Position: X=-0.9657883, Y=7.573178, Z=8.647104 
Frame 00158 Position: X=-1.122004, Y=7.611579, Z=8.645325 
Frame 00159 Position: X=-1.26266, Y=7.646091, Z=8.648349 
Frame 00160 Position: X=-1.408224, Y=7.682075, Z=8.657564 
Frame 00161 Position: X=-1.539442, Y=7.715145, Z=8.673107 
Frame 00162 Position: X=-1.658755, Y=7.746243, Z=8.695793 
Frame 00163 Position: X=-1.764763, Y=7.775371, Z=8.726347 
Frame 00164 Position: X=-1.859964, Y=7.801644, Z=8.764914 
Frame 00165 Position: X=-1.952828, Y=7.823586, Z=8.810471 
Frame 00166 Position: X=-2.042599, Y=7.841366, Z=8.861905 
Frame 00167 Position: X=-2.131014, Y=7.855757, Z=8.919755 
Frame 00168 Position: X=-2.206174, Y=7.865697, Z=8.974624 
Frame 00169 Position: X=-2.296349, Y=7.875042, Z=9.047482 
Frame 00170 Position: X=-2.377258, Y=7.881242, Z=9.11952 
Frame 00171 Position: X=-2.450799, Y=7.885283, Z=9.190611 
Frame 00172 Position: X=-2.520671, Y=7.887914, Z=9.263251 
Frame 00173 Position: X=-2.600335, Y=7.889755, Z=9.352343 
Frame 00174 Position: X=-2.671005, Y=7.890662, Z=9.437198 
Frame 00175 Position: X=-2.738796, Y=7.891225, Z=9.523994 
Frame 00176 Position: X=-2.802964, Y=7.891844, Z=9.611296 
Frame 00177 Position: X=-2.865092, Y=7.892941, Z=9.700891 
Frame 00178 Position: X=-2.916817, Y=7.894607, Z=9.77956 
Frame 00179 Position: X=-2.977203, Y=7.897987, Z=9.876484 
Frame 00180 Position: X=-3.023768, Y=7.902172, Z=9.955314 
Frame 00181 Position: X=-3.077426, Y=7.909495, Z=10.05109 
Frame 00182 Position: X=-3.123496, Y=7.918822, Z=10.13809 
Frame 00183 Position: X=-3.166029, Y=7.930995, Z=10.22299 
Frame 00184 Position: X=-3.200427, Y=7.944338, Z=10.29543 
Frame 00185 Position: X=-3.239156, Y=7.964708, Z=10.38194 
Frame 00186 Position: X=-3.269609, Y=7.986492, Z=10.45461 
Frame 00187 Position: X=-3.298952, Y=8.01482, Z=10.53024 
Frame 00188 Position: X=-3.323099, Y=8.046551, Z=10.60177 
Frame 00189 Position: X=-3.343041, Y=8.081884, Z=10.67189 
Frame 00190 Position: X=-3.357693, Y=8.116683, Z=10.73438 
Frame 00191 Position: X=-3.371476, Y=8.162556, Z=10.80986 
Frame 00192 Position: X=-3.380405, Y=8.20816, Z=10.87935 
Frame 00193 Position: X=-3.385717, Y=8.255834, Z=10.94772 
Frame 00194 Position: X=-3.387643, Y=8.305809, Z=11.01596 
Frame 00195 Position: X=-3.386282, Y=8.357658, Z=11.08403 
Frame 00196 Position: X=-3.382436, Y=8.404699, Z=11.14407 
Frame 00197 Position: X=-3.374586, Y=8.462805, Z=11.21669 
Frame 00198 Position: X=-3.364386, Y=8.517044, Z=11.28357 
Frame 00199 Position: X=-3.351663, Y=8.570828, Z=11.34958 
Frame 00200 Position: X=-3.336243, Y=8.625097, Z=11.4164 
Frame 00201 Position: X=-3.318437, Y=8.67873, Z=11.4832 
Frame 00202 Position: X=-3.299661, Y=8.728224, Z=11.54601 
Frame 00203 Position: X=-3.276875, Y=8.781274, Z=11.61522 
Frame 00204 Position: X=-3.252944, Y=8.83067, Z=11.68212 
Frame 00205 Position: X=-3.228415, Y=8.875932, Z=11.74626 
Frame 00206 Position: X=-3.199857, Y=8.922935, Z=11.81678 
Frame 00207 Position: X=-3.170548, Y=8.965707, Z=11.8857 
Frame 00208 Position: X=-3.140249, Y=9.004784, Z=11.95418 
Frame 00209 Position: X=-3.108027, Y=9.041138, Z=12.02471 
Frame 00210 Position: X=-3.074707, Y=9.073482, Z=12.09572 
Frame 00211 Position: X=-3.03796, Y=9.103313, Z=12.16976 
Frame 00212 Position: X=-2.997342, Y=9.131123, Z=12.2467 
Frame 00213 Position: X=-2.953576, Y=9.15683, Z=12.32538 
Frame 00214 Position: X=-2.906057, Y=9.181082, Z=12.40699 
Frame 00215 Position: X=-2.861139, Y=9.20133, Z=12.48118 
Frame 00216 Position: X=-2.80302, Y=9.224526, Z=12.57364 
Frame 00217 Position: X=-2.754181, Y=9.241922, Z=12.64865 
Frame 00218 Position: X=-2.690714, Y=9.262229, Z=12.74294 
Frame 00219 Position: X=-2.634299, Y=9.278484, Z=12.824 
Frame 00220 Position: X=-2.569533, Y=9.295431, Z=12.91411 
Frame 00221 Position: X=-2.505478, Y=9.310686, Z=13.0003 
Frame 00222 Position: X=-2.440493, Y=9.324885, Z=13.08486 
Frame 00223 Position: X=-2.374264, Y=9.338245, Z=13.16811 
Frame 00224 Position: X=-2.311591, Y=9.350019, Z=13.24415 
Frame 00225 Position: X=-2.243654, Y=9.361984, Z=13.32353 
Frame 00226 Position: X=-2.176946, Y=9.373072, Z=13.39826 
Frame 00227 Position: X=-2.110759, Y=9.383554, Z=13.46909 
Frame 00228 Position: X=-2.045204, Y=9.393549, Z=13.53576 
Frame 00229 Position: X=-1.981006, Y=9.403084, Z=13.5974 
Frame 00230 Position: X=-1.917688, Y=9.412357, Z=13.65427 
Frame 00231 Position: X=-1.855598, Y=9.42145, Z=13.70578 
Frame 00232 Position: X=-1.795712, Y=9.430349, Z=13.7509 
Frame 00233 Position: X=-1.740945, Y=9.438732, Z=13.78759 
Frame 00234 Position: X=-1.682313, Y=9.447371, Z=13.82106 
Frame 00235 Position: X=-1.624912, Y=9.454542, Z=13.8479 
Frame 00236 Position: X=-1.567761, Y=9.46054, Z=13.86931 
Frame 00237 Position: X=-1.509651, Y=9.465593, Z=13.88614 
Frame 00238 Position: X=-1.451455, Y=9.469706, Z=13.89841 
Frame 00239 Position: X=-1.392828, Y=9.472986, Z=13.90651 
Frame 00240 Position: X=-1.334168, Y=9.475496, Z=13.91067 
Frame 00241 Position: X=-1.278987, Y=9.477224, Z=13.91125 
Frame 00242 Position: X=-1.218718, Y=9.478493, Z=13.90847 
Frame 00243 Position: X=-1.160442, Y=9.479175, Z=13.90263 
Frame 00244 Position: X=-1.102774, Y=9.479395, Z=13.89402 
Frame 00245 Position: X=-1.045378, Y=9.479234, Z=13.88286 
Frame 00246 Position: X=-0.995356, Y=9.478836, Z=13.87118 
Frame 00247 Position: X=-0.9350373, Y=9.478107, Z=13.85484 
Frame 00248 Position: X=-0.8810511, Y=9.477291, Z=13.83829 
Frame 00249 Position: X=-0.8277508, Y=9.476402, Z=13.82032 
Frame 00250 Position: X=-0.7760001, Y=9.475531, Z=13.80146 
Frame 00251 Position: X=-0.7254351, Y=9.474743, Z=13.78183 
Frame 00252 Position: X=-0.6760097, Y=9.474117, Z=13.76163 
Frame 00253 Position: X=-0.6277456, Y=9.473734, Z=13.74111 
Frame 00254 Position: X=-0.5818688, Y=9.473679, Z=13.72101 
Frame 00255 Position: X=-0.5380089, Y=9.47402, Z=13.70143 
Frame 00256 Position: X=-0.4959553, Y=9.474834, Z=13.6825 
Frame 00257 Position: X=-0.4557498, Y=9.476011, Z=13.66364 
Frame 00258 Position: X=-0.4172142, Y=9.476988, Z=13.6423 
Frame 00259 Position: X=-0.380544, Y=9.47774, Z=13.6186 
Frame 00260 Position: X=-0.346355, Y=9.478292, Z=13.59328 
Frame 00261 Position: X=-0.3132219, Y=9.478697, Z=13.56557 
Frame 00262 Position: X=-0.2821519, Y=9.478972, Z=13.53659 
Frame 00263 Position: X=-0.2521796, Y=9.479162, Z=13.50578 
Frame 00264 Position: X=-0.2250977, Y=9.479288, Z=13.47546 
Frame 00265 Position: X=-0.1968696, Y=9.479403, Z=13.44134 
Frame 00266 Position: X=-0.1733698, Y=9.479506, Z=13.41102 
Frame 00267 Position: X=-0.1457828, Y=9.479677, Z=13.37332 
Frame 00268 Position: X=-0.1213081, Y=9.47991, Z=13.33812 
Frame 00269 Position: X=-0.09728551, Y=9.480253, Z=13.30221 
Frame 00270 Position: X=-0.07412165, Y=9.480728, Z=13.26657 
Frame 00271 Position: X=-0.05394292, Y=9.481289, Z=13.23495 
Frame 00272 Position: X=-0.03195667, Y=9.482086, Z=13.2002 
Frame 00273 Position: X=-0.007434905, Y=9.483244, Z=13.16147 
Frame 00274 Position: X=0.01537871, Y=9.484605, Z=13.12589 
Frame 00275 Position: X=0.03822684, Y=9.486269, Z=13.09109 
Frame 00276 Position: X=0.06012261, Y=9.488163, Z=13.05885 
Frame 00277 Position: X=0.08420116, Y=9.490593, Z=13.02499 
Frame 00278 Position: X=0.108222, Y=9.493382, Z=12.99317 
Frame 00279 Position: X=0.132625, Y=9.496581, Z=12.96307 
Frame 00280 Position: X=0.1563731, Y=9.500072, Z=12.93595 
Frame 00281 Position: X=0.182201, Y=9.504641, Z=12.90778 
Frame 00282 Position: X=0.2053137, Y=9.509425, Z=12.88341 
Frame 00283 Position: X=0.2294028, Y=9.515057, Z=12.85876 
Frame 00284 Position: X=0.2547776, Y=9.52163, Z=12.83348 
Frame 00285 Position: X=0.2793012, Y=9.528542, Z=12.80962 
Frame 00286 Position: X=0.3008747, Y=9.535019, Z=12.78898 
Frame 00287 Position: X=0.3270012, Y=9.543287, Z=12.7643 
Frame 00288 Position: X=0.351028, Y=9.551226, Z=12.74177 
Frame 00289 Position: X=0.3748746, Y=9.559349, Z=12.71943 
Frame 00290 Position: X=0.3985853, Y=9.567591, Z=12.6971 
Frame 00291 Position: X=0.4220548, Y=9.575832, Z=12.67475 
Frame 00292 Position: X=0.4448312, Y=9.583838, Z=12.65269 
Frame 00293 Position: X=0.4676184, Y=9.591776, Z=12.63012 
Frame 00294 Position: X=0.4891427, Y=9.599136, Z=12.60819 
Frame 00295 Position: X=0.5098721, Y=9.606031, Z=12.58641 
Frame 00296 Position: X=0.5327694, Y=9.613347, Z=12.56145 
Frame 00297 Position: X=0.5557683, Y=9.620283, Z=12.53524 
Frame 00298 Position: X=0.5753962, Y=9.625799, Z=12.51183 
Frame 00299 Position: X=0.5978122, Y=9.631557, Z=12.48378 
Frame 00300 Position: X=0.6200299, Y=9.636591, Z=12.45439 
Frame 00301 Position: X=0.6387956, Y=9.640242, Z=12.4282 
Frame 00302 Position: X=0.6603972, Y=9.643665, Z=12.39631 
Frame 00303 Position: X=0.679361, Y=9.645897, Z=12.36663 
Frame 00304 Position: X=0.6994005, Y=9.647587, Z=12.33372 
Frame 00305 Position: X=0.7189333, Y=9.648851, Z=12.30053 
Frame 00306 Position: X=0.739099, Y=9.649738, Z=12.26504 
Frame 00307 Position: X=0.7579029, Y=9.65016, Z=12.23077 
Frame 00308 Position: X=0.7751172, Y=9.650189, Z=12.19836 
Frame 00309 Position: X=0.7930374, Y=9.649842, Z=12.16353 
Frame 00310 Position: X=0.8117242, Y=9.649057, Z=12.12599 
Frame 00311 Position: X=0.8282718, Y=9.647997, Z=12.09168 
Frame 00312 Position: X=0.8475568, Y=9.646322, Z=12.05044 
Frame 00313 Position: X=0.864937, Y=9.644407, Z=12.01212 
Frame 00314 Position: X=0.8805, Y=9.642372, Z=11.97688 
Frame 00315 Position: X=0.8994562, Y=9.639494, Z=11.93282 
Frame 00316 Position: X=0.916891, Y=9.636472, Z=11.89123 
Frame 00317 Position: X=0.9320005, Y=9.633577, Z=11.85441 
Frame 00318 Position: X=0.9488977, Y=9.630054, Z=11.81242 
Frame 00319 Position: X=0.9670108, Y=9.625965, Z=11.76654 
Frame 00320 Position: X=0.9853811, Y=9.621519, Z=11.71917 
Frame 00321 Position: X=1.003246, Y=9.616936, Z=11.67238 
Frame 00322 Position: X=1.020688, Y=9.612242, Z=11.62609 
Frame 00323 Position: X=1.038838, Y=9.607159, Z=11.57739 
Frame 00324 Position: X=1.057291, Y=9.601812, Z=11.52739 
Frame 00325 Position: X=1.075116, Y=9.596508, Z=11.47871 
Frame 00326 Position: X=1.094346, Y=9.590659, Z=11.42587 
Frame 00327 Position: X=1.113881, Y=9.584609, Z=11.37174 
Frame 00328 Position: X=1.133951, Y=9.578236, Z=11.31151 
Frame 00329 Position: X=1.152121, Y=9.572279, Z=11.25144 
Frame 00330 Position: X=1.168497, Y=9.566725, Z=11.19283 
Frame 00331 Position: X=1.186368, Y=9.560434, Z=11.12432 
Frame 00332 Position: X=1.201835, Y=9.554772, Z=11.06161 
Frame 00333 Position: X=1.217981, Y=9.548632, Z=10.99341 
Frame 00334 Position: X=1.234033, Y=9.542284, Z=10.92363 
Frame 00335 Position: X=1.250161, Y=9.535662, Z=10.85243 
Frame 00336 Position: X=1.267487, Y=9.528285, Z=10.77578 
Frame 00337 Position: X=1.28426, Y=9.520906, Z=10.70243 
Frame 00338 Position: X=1.302608, Y=9.512598, Z=10.6241 
Frame 00339 Position: X=1.321156, Y=9.503983, Z=10.54777 
Frame 00340 Position: X=1.340718, Y=9.494707, Z=10.47095 
Frame 00341 Position: X=1.36147, Y=9.484697, Z=10.39394 
Frame 00342 Position: X=1.380868, Y=9.475222, Z=10.32625 
Frame 00343 Position: X=1.403056, Y=9.464277, Z=10.25383 
Frame 00344 Position: X=1.428373, Y=9.451694, Z=10.17739 
Frame 00345 Position: X=1.454087, Y=9.438848, Z=10.10606 
Frame 00346 Position: X=1.48159, Y=9.425064, Z=10.03617 
Frame 00347 Position: X=1.511121, Y=9.410242, Z=9.967756 
Frame 00348 Position: X=1.544612, Y=9.393429, Z=9.897569 
Frame 00349 Position: X=1.577041, Y=9.377165, Z=9.836226 
Frame 00350 Position: X=1.61346, Y=9.358932, Z=9.774156 
Frame 00351 Position: X=1.652286, Y=9.338809, Z=9.714266 
Frame 00352 Position: X=1.692882, Y=9.315226, Z=9.655618 
Frame 00353 Position: X=1.738854, Y=9.286093, Z=9.593117 
Frame 00354 Position: X=1.779397, Y=9.258848, Z=9.540894 
Frame 00355 Position: X=1.831629, Y=9.22227, Z=9.476995 
Frame 00356 Position: X=1.881136, Y=9.186611, Z=9.419444 
Frame 00357 Position: X=1.926659, Y=9.153363, Z=9.368766 
Frame 00358 Position: X=1.978283, Y=9.11549, Z=9.31358 
Frame 00359 Position: X=2.037588, Y=9.072187, Z=9.252825 
Frame 00360 Position: X=2.086921, Y=9.036634, Z=9.2042 
Frame 00361 Position: X=2.142158, Y=8.997624, Z=9.151604 
Frame 00362 Position: X=2.198515, Y=8.95897, Z=9.099764 
Frame 00363 Position: X=2.263059, Y=8.916468, Z=9.042439 
Frame 00364 Position: X=2.316363, Y=8.883045, Z=8.996598 
Frame 00365 Position: X=2.375751, Y=8.847863, Z=8.946996 
Frame 00366 Position: X=2.443005, Y=8.810968, Z=8.892549 
Frame 00367 Position: X=2.49721, Y=8.783768, Z=8.849902 
Frame 00368 Position: X=2.561756, Y=8.754641, Z=8.800462 
Frame 00369 Position: X=2.626998, Y=8.729154, Z=8.751876 
Frame 00370 Position: X=2.68347, Y=8.710602, Z=8.710882 
Frame 00371 Position: X=2.748757, Y=8.693581, Z=8.664648 
Frame 00372 Position: X=2.807202, Y=8.682716, Z=8.624264 
Frame 00373 Position: X=2.868964, Y=8.676115, Z=8.582571 
Frame 00374 Position: X=2.937752, Y=8.675201, Z=8.53728 
Frame 00375 Position: X=2.994114, Y=8.679785, Z=8.50124 
Frame 00376 Position: X=3.058709, Y=8.690257, Z=8.461211 
Frame 00377 Position: X=3.133479, Y=8.708227, Z=8.416423 
Frame 00378 Position: X=3.200472, Y=8.728817, Z=8.377588 
Frame 00379 Position: X=3.274827, Y=8.755856, Z=8.335826 
Frame 00380 Position: X=3.344478, Y=8.784587, Z=8.297921 
Frame 00381 Position: X=3.416659, Y=8.817313, Z=8.259837 
Frame 00382 Position: X=3.490202, Y=8.853284, Z=8.22226 
Frame 00383 Position: X=3.568986, Y=8.894287, Z=8.183361 
Frame 00384 Position: X=3.641051, Y=8.933649, Z=8.149013 
Frame 00385 Position: X=3.710235, Y=8.972794, Z=8.117161 
Frame 00386 Position: X=3.788092, Y=9.018095, Z=8.082669 
Frame 00387 Position: X=3.866057, Y=9.064428, Z=8.049621 
Frame 00388 Position: X=3.936567, Y=9.106853, Z=8.021084 
Frame 00389 Position: X=4.004496, Y=9.147919, Z=7.994883 
Frame 00390 Position: X=4.083692, Y=9.195669, Z=7.966059 
Frame 00391 Position: X=4.151192, Y=9.235922, Z=7.943087 
Frame 00392 Position: X=4.215667, Y=9.273663, Z=7.922656 
Frame 00393 Position: X=4.285492, Y=9.313353, Z=7.90239 
Frame 00394 Position: X=4.35007, Y=9.348518, Z=7.885595 
Frame 00395 Position: X=4.412204, Y=9.380461, Z=7.871471 
